id,DN,nonmiss,chr,type,DR,geno
BKN009,88335,449567,10,overall,0.1965,landrace
BKN010,87768,448792,10,overall,0.1956,landrace
BKN011,87947,446018,10,overall,0.1972,landrace
BKN014,86857,452960,10,overall,0.1918,landrace
BKN015,86693,450234,10,overall,0.1926,landrace
BKN016,88095,451388,10,overall,0.1952,landrace
BKN017,85156,434964,10,overall,0.1958,landrace
BKN018,87418,446372,10,overall,0.1958,landrace
BKN019,87917,451457,10,overall,0.1947,landrace
BKN020,88162,447024,10,overall,0.1972,landrace
BKN022,86887,450462,10,overall,0.1929,landrace
BKN023,86462,435876,10,overall,0.1984,landrace
BKN025,87389,448688,10,overall,0.1948,landrace
BKN026,87649,445870,10,overall,0.1966,landrace
BKN027,87652,453098,10,overall,0.1935,landrace
BKN029,86548,439690,10,overall,0.1968,landrace
BKN030,86269,439941,10,overall,0.1961,landrace
BKN031,87412,446969,10,overall,0.1956,landrace
BKN032,86821,451131,10,overall,0.1925,landrace
BKN033,86738,443765,10,overall,0.1955,landrace
BKN034,86666,442913,10,overall,0.1957,landrace
BKN035,87405,445128,10,overall,0.1964,landrace
BKN040,78020,402994,10,overall,0.1936,landrace
LH1,40791,214264,10,overall,0.1904,maize
LH123HT,26030,136782,10,overall,0.1903,maize
LH82,38131,203189,10,overall,0.1877,maize
Mo17,94613,482604,10,overall,0.196,maize
PH207,32711,169183,10,overall,0.1933,maize
PHG35,41218,215072,10,overall,0.1916,maize
PHG39,39349,211428,10,overall,0.1861,maize
PHG47,41437,219103,10,overall,0.1891,maize
PHG84,32826,175204,10,overall,0.1874,maize
PHJ40,37606,199559,10,overall,0.1884,maize
PHZ51,47871,260238,10,overall,0.184,maize
BKN009,49811,449567,10,seg,0.1108,landrace
BKN010,49136,448792,10,seg,0.1095,landrace
BKN011,49453,446018,10,seg,0.1109,landrace
BKN014,48022,452960,10,seg,0.106,landrace
BKN015,48039,450234,10,seg,0.1067,landrace
BKN016,49332,451388,10,seg,0.1093,landrace
BKN017,47503,434964,10,seg,0.1092,landrace
BKN018,49176,446372,10,seg,0.1102,landrace
BKN019,49325,451457,10,seg,0.1093,landrace
BKN020,49697,447024,10,seg,0.1112,landrace
BKN022,48299,450462,10,seg,0.1072,landrace
BKN023,48589,435876,10,seg,0.1115,landrace
BKN025,48821,448688,10,seg,0.1088,landrace
BKN026,49239,445870,10,seg,0.1104,landrace
BKN027,48797,453098,10,seg,0.1077,landrace
BKN029,48608,439690,10,seg,0.1106,landrace
BKN030,48245,439941,10,seg,0.1097,landrace
BKN031,48967,446969,10,seg,0.1096,landrace
BKN032,48280,451131,10,seg,0.107,landrace
BKN033,48352,443765,10,seg,0.109,landrace
BKN034,48404,442913,10,seg,0.1093,landrace
BKN035,49188,445128,10,seg,0.1105,landrace
BKN040,42823,402994,10,seg,0.1063,landrace
BKN009,38524,449567,10,fixed,0.0857,landrace
BKN010,38632,448792,10,fixed,0.0861,landrace
BKN011,38494,446018,10,fixed,0.0863,landrace
BKN014,38835,452960,10,fixed,0.0857,landrace
BKN015,38654,450234,10,fixed,0.0859,landrace
BKN016,38763,451388,10,fixed,0.0859,landrace
BKN017,37653,434964,10,fixed,0.0866,landrace
BKN018,38242,446372,10,fixed,0.0857,landrace
BKN019,38592,451457,10,fixed,0.0855,landrace
BKN020,38465,447024,10,fixed,0.086,landrace
BKN022,38588,450462,10,fixed,0.0857,landrace
BKN023,37873,435876,10,fixed,0.0869,landrace
BKN025,38568,448688,10,fixed,0.086,landrace
BKN026,38410,445870,10,fixed,0.0861,landrace
BKN027,38855,453098,10,fixed,0.0858,landrace
BKN029,37940,439690,10,fixed,0.0863,landrace
BKN030,38024,439941,10,fixed,0.0864,landrace
BKN031,38445,446969,10,fixed,0.086,landrace
BKN032,38541,451131,10,fixed,0.0854,landrace
BKN033,38386,443765,10,fixed,0.0865,landrace
BKN034,38262,442913,10,fixed,0.0864,landrace
BKN035,38217,445128,10,fixed,0.0859,landrace
BKN040,35197,402994,10,fixed,0.0873,landrace
LH1,18187,214264,10,seg,0.0849,maize
LH123HT,10781,136782,10,seg,0.0788,maize
LH82,18029,203189,10,seg,0.0887,maize
Mo17,42148,482604,10,seg,0.0873,maize
PH207,13917,169183,10,seg,0.0823,maize
PHG35,18725,215072,10,seg,0.0871,maize
PHG39,16601,211428,10,seg,0.0785,maize
PHG47,17625,219103,10,seg,0.0804,maize
PHG84,13945,175204,10,seg,0.0796,maize
PHJ40,15795,199559,10,seg,0.0791,maize
PHZ51,20741,260238,10,seg,0.0797,maize
LH1,22604,214264,10,fixed,0.1055,maize
LH123HT,15249,136782,10,fixed,0.1115,maize
LH82,20102,203189,10,fixed,0.0989,maize
Mo17,52465,482604,10,fixed,0.1087,maize
PH207,18794,169183,10,fixed,0.1111,maize
PHG35,22493,215072,10,fixed,0.1046,maize
PHG39,22748,211428,10,fixed,0.1076,maize
PHG47,23812,219103,10,fixed,0.1087,maize
PHG84,18881,175204,10,fixed,0.1078,maize
PHJ40,21811,199559,10,fixed,0.1093,maize
PHZ51,27130,260238,10,fixed,0.1043,maize
